sourceId,field,referenceYear,sourceStatus,municipalitiesTotal,municipalitiesWithValue,municipalitiesWithNull,municipalitiesNotFound,municipalitiesWithDuplicate,municipalitiesWithIncompatibleKey,coverageRate
fnde_fundeb_total_forecast_2026,fundeb_total_forecast,2026,integrated,497,497,0,0,0,0,1.0
fnde_fundeb_total_forecast_2026,fundeb_vaaf_forecast,2026,integrated,497,0,497,0,0,0,0.0
fnde_fundeb_total_forecast_2026,fundeb_vaaf_status,2026,integrated,497,497,0,0,0,0,1.0
fnde_fundeb_vaat_2026,fundeb_vaat_forecast,2026,integrated,497,14,483,0,0,0,0.028169
fnde_fundeb_vaat_2026,fundeb_vaat_beneficiary_status,2026,integrated,497,497,0,0,0,0,1.0
fnde_fundeb_vaat_status_2026,fundeb_vaat_calculation_status,2026,integrated,497,497,0,0,0,0,1.0
fnde_fundeb_vaar_status_2026,fundeb_vaar_status,2026,integrated,497,497,0,0,0,0,1.0
fnde_fundeb_vaar_forecast_2026,fundeb_vaar_forecast,2026,integrated,497,274,223,223,0,0,0.551308
fnde_qse_realized_2024,qse_distributed,2024,integrated,497,497,0,0,0,0,1.0
fnde_qse_realized_2024,qse_enrollments,2024,integrated,497,497,0,0,0,0,1.0
fnde_qse_estimate_2026,qse_official_estimate,2026,integrated,497,497,0,0,0,0,1.0
siconfi_dca_function_2024,education_committed,2024,integrated,497,497,0,0,0,0,1.0
siconfi_dca_function_2024,education_liquidated,2024,integrated,497,497,0,0,0,0,1.0
siconfi_dca_function_2024,education_paid,2024,integrated,497,497,0,0,0,0,1.0
siconfi_dca_function_2024,outstanding_non_processed,2024,integrated,497,357,140,0,0,0,0.71831
siconfi_dca_function_2024,outstanding_processed,2024,integrated,497,400,97,0,0,0,0.804829
siconfi_dca_function_2024,liquidated_to_committed_rate,2024,integrated,497,497,0,0,0,0,1.0
siconfi_dca_function_2024,paid_to_committed_rate,2024,integrated,497,497,0,0,0,0,1.0
siconfi_dca_function_2024,paid_to_liquidated_rate,2024,integrated,497,497,0,0,0,0,1.0
siconfi_dca_function_2024,outstanding_to_committed_rate,2024,integrated,497,336,161,0,0,0,0.676056
fnde_siope_indicators_odata_2024_p6,mde_applied_amount_siope,2024,integrated,497,497,0,0,0,0,1.0
fnde_siope_rreo_annex8_2024_p6,mde_applied_amount_rreo,2024,integrated,497,497,0,0,0,0,1.0
fnde_siope_indicators_odata_2024_p6,mde_applied_rate_siope,2024,integrated,497,497,0,0,0,0,1.0
fnde_siope_rreo_annex8_2024_p6,mde_applied_rate_rreo,2024,integrated,497,497,0,0,0,0,1.0
fnde_siope_indicators_odata_2024_p6,fundeb_professional_remuneration_rate_siope,2024,integrated,497,497,0,0,0,0,1.0
fnde_siope_rreo_annex8_2024_p6,fundeb_professional_remuneration_rate_rreo,2024,integrated,497,497,0,0,0,0,1.0
fnde_siope_rreo_annex8_2024_p6,fundeb_revenue_received_declared,2024,integrated,497,497,0,0,0,0,1.0
